item,count,percent_of_respondents
Solve urgent learning problems,34,56.7
Deepen understanding by explaining,27,45.0
Access course-related internal information or experience,27,45.0
Build academic relationships / find study partners,17,28.3
Help other students answer questions,3,5.0
Application writing,1,1.7
Build reputation or recognition,1,1.7
General information browsing,1,1.7
