item,count,percent_of_respondents
Research / internship opportunities,47,78.3
Research experience and application writing,38,63.3
Course reviews and module-selection advice,37,61.7
Subject Q&A and academic discussion,31,51.7
Study materials and note sharing,30,50.0
Academic lectures and event aggregation,21,35.0
Overall university planning,1,1.7
Interview knowledge and course-related online videos/books,1,1.7
Chinese explanations of course content,1,1.7
